sCE,sYear,vInvCost
sCESOPHVDIWOTIND,y2050,0.0
sCESOPHVDIWOTIND,y2055,0.0
sCESOPHVDIWOTIND,y2060,0.0
sCESOPHVDIWOTIND,y2065,0.0
sCESOPHVDIWOTIND,y2070,0.0
sCESOPHVDIWOTOTH,y2020,0.0
sCESOPHVDIWOTOTH,y2025,0.0
sCESOPHVDIWOTOTH,y2030,0.0
sCESOPHVDIWOTOTH,y2035,0.0
sCESOPHVDIWOTOTH,y2040,0.0
sCESOPHVDIWOTOTH,y2045,0.0
sCESOPHVDIWOTOTH,y2050,0.0
sCESOPHVDIWOTOTH,y2055,0.0
sCESOPHVDIWOTOTH,y2060,0.0
sCESOPHVDIWOTOTH,y2065,0.0
sCESOPHVDIWOTOTH,y2070,0.0
sCESOTELCE,y2020,0.345
sCESOTELCE,y2025,0.112113164136465
sCESOTELCE,y2030,0.0728658641895063
sCESOTELCE,y2035,0.520935933391641
sCESOTELCE,y2040,0.0
sCESOTELCE,y2045,0.0
sCESOTELCE,y2050,0.0
sCESOTELCE,y2055,0.0929510621146262
sCESOTELCE,y2060,0.0
sCESOTELCE,y2065,0.0
sCESOTELCE,y2070,0.0
sCESOLTHDIIND,y2020,57.664
sCESOLTHDIIND,y2025,0.0
sCESOLTHDIIND,y2030,0.0
sCESOLTHDIIND,y2035,0.0
sCESOLTHDIIND,y2040,11.3179427112451
sCESOLTHDIIND,y2045,0.0
sCESOLTHDIIND,y2050,0.0
sCESOLTHDIIND,y2055,0.0
sCESOLTHDIIND,y2060,2.01947058847219
sCESOLTHDIIND,y2065,0.0
sCESOLTHDIIND,y2070,0.0
sCESOLTHDIOTH,y2020,8.1832
sCESOLTHDIOTH,y2025,0.0
sCESOLTHDIOTH,y2030,0.0
sCESOLTHDIOTH,y2035,0.0
sCESOLTHDIOTH,y2040,1.60614922299287
sCESOLTHDIOTH,y2045,0.0
sCESOLTHDIOTH,y2050,0.0616777081163003
sCESOLTHDIOTH,y2055,0.0
sCESOLTHDIOTH,y2060,0.286586634981715
sCESOLTHDIOTH,y2065,0.0
sCESOLTHDIOTH,y2070,0.0
sCEBIOMECCE,y2020,0.020136
sCEBIOMECCE,y2025,0.0130870183945035
sCEBIOMECCE,y2030,0.00850566400765159
sCEBIOMECCE,y2035,0.00552809799988094
sCEBIOMECCE,y2040,0.0
sCEBIOMECCE,y2045,0.0
sCEBIOMECCE,y2050,0.0
sCEBIOMECCE,y2055,0.0
sCEBIOMECCE,y2060,0.0
sCEBIOMECCE,y2065,0.0
sCEBIOMECCE,y2070,0.0
sCEBIOMAWCE,y2020,0.042789
sCEBIOMAWCE,y2025,0.0278099140883199
sCEBIOMAWCE,y2030,0.0180745360162596
sCEBIOMAWCE,y2035,0.011747208249747
sCEBIOMAWCE,y2040,0.0
sCEBIOMAWCE,y2045,0.0
sCEBIOMAWCE,y2050,0.0
sCEBIOMAWCE,y2055,0.0
sCEBIOMAWCE,y2060,0.0
sCEBIOMAWCE,y2065,0.0
sCEBIOMAWCE,y2070,0.0
sCEBIOMFWCE,y2020,0.0
sCEBIOMFWCE,y2025,0.0
sCEBIOMFWCE,y2030,0.0
sCEBIOMFWCE,y2035,0.0
sCEBIOMFWCE,y2040,0.0
sCEBIOMFWCE,y2045,0.0
sCEBIOMFWCE,y2050,0.0
sCEBIOMFWCE,y2055,0.0
sCEBIOMFWCE,y2060,0.0
sCEBIOMFWCE,y2065,0.0
sCEBIOMFWCE,y2070,0.0
sCESLDWAST,y2020,0.0963025
sCESLDWAST,y2025,0.0625900173289964
sCESLDWAST,y2030,0.0406792167310721
sCESLDWAST,y2035,0.0264386997235565
sCESLDWAST,y2040,0.0
sCESLDWAST,y2045,0.0
sCESLDWAST,y2050,0.0
sCESLDWAST,y2055,1.24688538172296e-17
sCESLDWAST,y2060,0.0
sCESLDWAST,y2065,0.0
sCESLDWAST,y2070,0.0
sCECOGENINDNG,y2020,0.171
sCECOGENINDNG,y2025,0.0555691335285085
sCECOGENINDNG,y2030,0.0361161239895814
sCECOGENINDNG,y2035,0.258203027854987
sCECOGENINDNG,y2040,0.0
sCECOGENINDNG,y2045,0.0
sCECOGENINDNG,y2050,0.0
sCECOGENINDNG,y2055,0.0460713960046408
sCECOGENINDNG,y2060,0.0
sCECOGENINDNG,y2065,0.0
sCECOGENINDNG,y2070,0.0
sCECOGENOTHNG,y2020,0.12558
sCECOGENOTHNG,y2025,0.0816183834913462
sCECOGENOTHNG,y2030,0.0530463491299606
sCECOGENOTHNG,y2035,0.0344764872281013
sCECOGENOTHNG,y2040,0.0
sCECOGENOTHNG,y2045,0.0
sCECOGENOTHNG,y2050,0.0
sCECOGENOTHNG,y2055,0.0
sCECOGENOTHNG,y2060,0.0
sCECOGENOTHNG,y2065,0.0
sCECOGENOTHNG,y2070,0.0
sCECOGENINDBIO,y2020,0.0
sCECOGENINDBIO,y2025,0.0
sCECOGENINDBIO,y2030,0.0
sCECOGENINDBIO,y2035,0.0
sCECOGENINDBIO,y2040,0.0
sCECOGENINDBIO,y2045,0.0
sCECOGENINDBIO,y2050,0.0
sCECOGENINDBIO,y2055,0.0
sCECOGENINDBIO,y2060,0.0
sCECOGENINDBIO,y2065,0.0
sCECOGENINDBIO,y2070,0.0
sCECOGENOTHBIO,y2020,0.0
sCECOGENOTHBIO,y2025,0.0
sCECOGENOTHBIO,y2030,0.0
sCECOGENOTHBIO,y2035,0.0
sCECOGENOTHBIO,y2040,0.0
sCECOGENOTHBIO,y2045,0.0
sCECOGENOTHBIO,y2050,0.0
sCECOGENOTHBIO,y2055,0.0
sCECOGENOTHBIO,y2060,0.0
sCECOGENOTHBIO,y2065,0.0
sCECOGENOTHBIO,y2070,0.0
sCEREFINLOWC,y2020,0.35454
sCEREFINLOWC,y2025,0.115213336849108
sCEREFINLOWC,y2030,0.0748807637383988
sCEREFINLOWC,y2035,0.53534094441934
sCEREFINLOWC,y2040,0.0
sCEREFINLOWC,y2045,0.0
sCEREFINLOWC,y2050,0.0
sCEREFINLOWC,y2055,0.095521361049622
sCEREFINLOWC,y2060,0.0
sCEREFINLOWC,y2065,0.0
sCEREFINLOWC,y2070,0.0
sCEREFINHIGC,y2020,0.200475
sCEREFINHIGC,y2025,0.130294994668161
sCEREFINHIGC,y2030,0.700703974735854
sCEREFINHIGC,y2035,0.483771536576658
sCEREFINHIGC,y2040,0.0
sCEREFINHIGC,y2045,0.0
sCEREFINHIGC,y2050,0.010991720517082
sCEREFINHIGC,y2055,0.0107795954207406
sCEREFINHIGC,y2060,0.000203406752929885
sCEREFINHIGC,y2065,0.0
sCEREFINHIGC,y2070,0.0
sCEREFINVHIC,y2020,33.7986448682189
sCEREFINVHIC,y2025,0.0
sCEREFINVHIC,y2030,0.0
sCEREFINVHIC,y2035,0.0
sCEREFINVHIC,y2040,3.48775904835328
sCEREFINVHIC,y2045,0.0788385698759645
sCEREFINVHIC,y2050,0.0491550418571192
sCEREFINVHIC,y2055,0.0103168752984871
sCEREFINVHIC,y2060,0.567718199014732
sCEREFINVHIC,y2065,0.0154739597893428
sCEREFINVHIC,y2070,0.00964785564143535
sCEBIOETHPP,y2020,1.02525621367952
sCEBIOETHPP,y2025,0.281425201645282
sCEBIOETHPP,y2030,0.182907071444603
sCEBIOETHPP,y2035,0.191974212872744
sCEBIOETHPP,y2040,0.303547439443519
sCEBIOETHPP,y2045,0.121735033786939
sCEBIOETHPP,y2050,0.0791194192702177
sCEBIOETHPP,y2055,0.0998950907444176
sCEBIOETHPP,y2060,0.0968243605737952
sCEBIOETHPP,y2065,0.0494487417510386
sCEBIOETHPP,y2070,0.0321382892769614
sCEBIODIEPP,y2020,0.085425
sCEBIODIEPP,y2025,0.0555203886745362
sCEBIODIEPP,y2030,0.0820851331234843
sCEBIODIEPP,y2035,0.336716150396603
sCEBIODIEPP,y2040,0.0511753480601572
sCEBIODIEPP,y2045,0.0332604649090366
sCEBIODIEPP,y2050,0.0306457585083757
sCEBIODIEPP,y2055,0.0922698797947145
sCEBIODIEPP,y2060,0.0300521106200673
sCEBIODIEPP,y2065,0.0195318099164912
sCEBIODIEPP,y2070,0.0143053421296013
sCEREGASIF,y2020,0.0665
sCEREGASIF,y2025,0.04322043718884
sCEREGASIF,y2030,0.0280903186585633
sCEREGASIF,y2035,0.0182567797473223
sCEREGASIF,y2040,0.0
sCEREGASIF,y2045,0.0
sCEREGASIF,y2050,0.0
sCEREGASIF,y2055,0.0
sCEREGASIF,y2060,0.0
sCEREGASIF,y2065,0.0
sCEREGASIF,y2070,0.0
sPE2TE_IMCO,y2020,0.0
sPE2TE_IMCO,y2025,0.0
sPE2TE_IMCO,y2030,0.0
sPE2TE_IMCO,y2035,0.0
sPE2TE_IMCO,y2040,0.0
sPE2TE_IMCO,y2045,0.0
sPE2TE_IMCO,y2050,0.0
sPE2TE_IMCO,y2055,0.0
sPE2TE_IMCO,y2060,0.0
sPE2TE_IMCO,y2065,0.0
sPE2TE_IMCO,y2070,0.0
sPE2TE_NAGAS,y2020,0.0
sPE2TE_NAGAS,y2025,0.0
sPE2TE_NAGAS,y2030,0.0
sPE2TE_NAGAS,y2035,0.0
sPE2TE_NAGAS,y2040,0.0
sPE2TE_NAGAS,y2045,0.0
sPE2TE_NAGAS,y2050,0.0
sPE2TE_NAGAS,y2055,0.0
sPE2TE_NAGAS,y2060,0.0
sPE2TE_NAGAS,y2065,0.0
sPE2TE_NAGAS,y2070,0.0
sPE2TE_BIOMEC,y2020,0.0
sPE2TE_BIOMEC,y2025,0.0
sPE2TE_BIOMEC,y2030,0.0
sPE2TE_BIOMEC,y2035,0.0
sPE2TE_BIOMEC,y2040,0.0
sPE2TE_BIOMEC,y2045,0.0
sPE2TE_BIOMEC,y2050,0.0
sPE2TE_BIOMEC,y2055,0.0
sPE2TE_BIOMEC,y2060,0.0
sPE2TE_BIOMEC,y2065,0.0
sPE2TE_BIOMEC,y2070,0.0
sPE2TE_BIOMFW,y2020,0.0
sPE2TE_BIOMFW,y2025,0.0
sPE2TE_BIOMFW,y2030,0.0
sPE2TE_BIOMFW,y2035,0.0
sPE2TE_BIOMFW,y2040,0.0
sPE2TE_BIOMFW,y2045,0.0
sPE2TE_BIOMFW,y2050,0.0
sPE2TE_BIOMFW,y2055,0.0
sPE2TE_BIOMFW,y2060,0.0
sPE2TE_BIOMFW,y2065,0.0
sPE2TE_BIOMFW,y2070,0.0
sPE2TE_BIOMAW,y2020,0.0
sPE2TE_BIOMAW,y2025,0.0
sPE2TE_BIOMAW,y2030,0.0
sPE2TE_BIOMAW,y2035,0.0
sPE2TE_BIOMAW,y2040,0.0
sPE2TE_BIOMAW,y2045,0.0
sPE2TE_BIOMAW,y2050,0.0
sPE2TE_BIOMAW,y2055,0.0
sPE2TE_BIOMAW,y2060,0.0
sPE2TE_BIOMAW,y2065,0.0
sPE2TE_BIOMAW,y2070,0.0
sTE2TE_TEELECEIND,y2020,0.0
sTE2TE_TEELECEIND,y2025,0.0
sTE2TE_TEELECEIND,y2030,0.0
sTE2TE_TEELECEIND,y2035,0.0
sTE2TE_TEELECEIND,y2040,0.0
sTE2TE_TEELECEIND,y2045,0.0
sTE2TE_TEELECEIND,y2050,0.0
sTE2TE_TEELECEIND,y2055,0.0
sTE2TE_TEELECEIND,y2060,0.0
sTE2TE_TEELECEIND,y2065,0.0
sTE2TE_TEELECEIND,y2070,0.0
sTE2TE_TEELEDIIND,y2020,0.0
sTE2TE_TEELEDIIND,y2025,0.0
sTE2TE_TEELEDIIND,y2030,0.0
sTE2TE_TEELEDIIND,y2035,0.0
sTE2TE_TEELEDIIND,y2040,0.0
sTE2TE_TEELEDIIND,y2045,0.0
sTE2TE_TEELEDIIND,y2050,0.0
sTE2TE_TEELEDIIND,y2055,0.0
sTE2TE_TEELEDIIND,y2060,0.0
sTE2TE_TEELEDIIND,y2065,0.0
sTE2TE_TEELEDIIND,y2070,0.0
sTE2TE_TEELECEOTH,y2020,0.0
sTE2TE_TEELECEOTH,y2025,0.0
sTE2TE_TEELECEOTH,y2030,0.0
sTE2TE_TEELECEOTH,y2035,0.0
sTE2TE_TEELECEOTH,y2040,0.0
sTE2TE_TEELECEOTH,y2045,0.0
sTE2TE_TEELECEOTH,y2050,0.0
sTE2TE_TEELECEOTH,y2055,0.0
sTE2TE_TEELECEOTH,y2060,0.0
sTE2TE_TEELECEOTH,y2065,0.0
sTE2TE_TEELECEOTH,y2070,0.0
sTE2TE_TEELEDIOTH,y2020,0.0
sTE2TE_TEELEDIOTH,y2025,0.0
sTE2TE_TEELEDIOTH,y2030,0.0
sTE2TE_TEELEDIOTH,y2035,0.0
sTE2TE_TEELEDIOTH,y2040,0.0
sTE2TE_TEELEDIOTH,y2045,0.0
sTE2TE_TEELEDIOTH,y2050,0.0
sTE2TE_TEELEDIOTH,y2055,0.0
sTE2TE_TEELEDIOTH,y2060,0.0
sTE2TE_TEELEDIOTH,y2065,0.0
sTE2TE_TEELEDIOTH,y2070,0.0
sTE2TE_TEELECETRA,y2020,0.0
sTE2TE_TEELECETRA,y2025,0.0
sTE2TE_TEELECETRA,y2030,0.0
sTE2TE_TEELECETRA,y2035,0.0
sTE2TE_TEELECETRA,y2040,0.0
sTE2TE_TEELECETRA,y2045,0.0
sTE2TE_TEELECETRA,y2050,0.0
sTE2TE_TEELECETRA,y2055,0.0
sTE2TE_TEELECETRA,y2060,0.0
sTE2TE_TEELECETRA,y2065,0.0
sTE2TE_TEELECETRA,y2070,0.0
